x,y,z,nx,ny,nz,ox,oy,oz,ax,ay,az
-0.12504284,-0.06918129,0.15046836,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.023399414,-0.12245357,0.3904208,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.016072156,0.035164908,0.128672,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.13226725,-0.2602732,0.23274553,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.28168586,-0.005522522,0.31774595,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.12399591,-0.04018386,0.16726166,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.20725217,0.2692324,0.17418246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.040109728,0.20753157,0.31817856,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.1920624,0.1537135,0.3519868,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.12302458,0.0014271357,0.24533159,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.07025829,-0.2687267,0.26568148,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.14314342,-0.20378344,0.14255805,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.14226295,0.27497202,0.12072848,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.19930938,0.05270126,0.11460833,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.05987518,-0.19261703,0.36338603,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.09788035,0.047160577,0.31038812,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.27881804,0.23537499,0.38838017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.28052014,0.28786373,0.15499307,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.0754987,-0.06663681,0.34261218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.090879545,-0.10545954,0.3818341,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.07710278,0.06580965,0.36430895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.1241743,-0.17675498,0.17578037,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.21940663,-0.2242907,0.39617828,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.0018770242,0.20026518,0.33731788,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.11258628,-0.017453762,0.390712,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.28655645,-0.090624765,0.36055213,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.11554577,0.2782886,0.378174,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
